n,variant,type,opt_level,flops_per_sec
50,kij,float,O3,1.19203e+10
50,jki,float,O3,3.05914e+09
50,kij,double,O3,8.69979e+09
50,jki,double,O3,3.38347e+09
51,kij,float,O3,1.34047e+10
51,jki,float,O3,3.39223e+09
51,kij,double,O3,7.51741e+09
51,jki,double,O3,3.38085e+09
52,kij,float,O3,1.36257e+10
52,jki,float,O3,3.3231e+09
52,kij,double,O3,8.43648e+09
52,jki,double,O3,3.38192e+09
53,kij,float,O3,1.26553e+10
53,jki,float,O3,3.15687e+09
53,kij,double,O3,7.75347e+09
53,jki,double,O3,3.37239e+09
54,kij,float,O3,1.23705e+10
54,jki,float,O3,3.33992e+09
54,kij,double,O3,8.26337e+09
54,jki,double,O3,5.20304e+09
55,kij,float,O3,1.99982e+10
55,jki,float,O3,5.39598e+09
55,kij,double,O3,1.44327e+10
55,jki,double,O3,5.99546e+09
56,kij,float,O3,2.15586e+10
56,jki,float,O3,5.84299e+09
56,kij,double,O3,1.66592e+10
56,jki,double,O3,6.05138e+09
57,kij,float,O3,2.07693e+10
57,jki,float,O3,6.0581e+09
57,kij,double,O3,1.42305e+10
57,jki,double,O3,5.05649e+09
58,kij,float,O3,1.95112e+10
58,jki,float,O3,4.87019e+09
58,kij,double,O3,1.58109e+10
58,jki,double,O3,5.80138e+09
59,kij,float,O3,1.85302e+10
59,jki,float,O3,5.90195e+09
59,kij,double,O3,1.46118e+10
59,jki,double,O3,6.0529e+09
60,kij,float,O3,1.91883e+10
60,jki,float,O3,4.58422e+09
60,kij,double,O3,8.59701e+09
60,jki,double,O3,3.31706e+09
61,kij,float,O3,1.00077e+10
61,jki,float,O3,3.29024e+09
61,kij,double,O3,7.58888e+09
61,jki,double,O3,3.42253e+09
62,kij,float,O3,1.10673e+10
62,jki,float,O3,3.78798e+09
62,kij,double,O3,9.51979e+09
62,jki,double,O3,3.09768e+09
63,kij,float,O3,1.11718e+10
63,jki,float,O3,3.10993e+09
63,kij,double,O3,8.76292e+09
63,jki,double,O3,3.75697e+09
64,kij,float,O3,2.01975e+10
64,jki,float,O3,2.22772e+09
64,kij,double,O3,1.07149e+10
64,jki,double,O3,1.93009e+09
65,kij,float,O3,1.58249e+10
65,jki,float,O3,3.20912e+09
65,kij,double,O3,8.72402e+09
65,jki,double,O3,3.75949e+09
66,kij,float,O3,1.70087e+10
66,jki,float,O3,3.10504e+09
66,kij,double,O3,9.843e+09
66,jki,double,O3,3.87598e+09
67,kij,float,O3,1.69844e+10
67,jki,float,O3,3.92051e+09
67,kij,double,O3,1.00277e+10
67,jki,double,O3,3.41345e+09
68,kij,float,O3,1.71185e+10
68,jki,float,O3,3.31175e+09
68,kij,double,O3,1.06562e+10
68,jki,double,O3,4.04414e+09
69,kij,float,O3,1.69009e+10
69,jki,float,O3,4.12462e+09
69,kij,double,O3,9.45731e+09
69,jki,double,O3,4.07452e+09
70,kij,float,O3,1.61148e+10
70,jki,float,O3,3.55159e+09
70,kij,double,O3,1.03852e+10
70,jki,double,O3,3.40659e+09
71,kij,float,O3,1.42217e+10
71,jki,float,O3,3.42089e+09
71,kij,double,O3,1.02976e+10
71,jki,double,O3,4.40506e+09
72,kij,float,O3,1.69178e+10
72,jki,float,O3,4.44086e+09
72,kij,double,O3,1.24129e+10
72,jki,double,O3,3.70087e+09
73,kij,float,O3,1.63081e+10
73,jki,float,O3,3.63261e+09
73,kij,double,O3,1.08081e+10
73,jki,double,O3,4.38226e+09
74,kij,float,O3,1.53237e+10
74,jki,float,O3,4.40827e+09
74,kij,double,O3,1.17574e+10
74,jki,double,O3,4.43474e+09
75,kij,float,O3,1.53447e+10
75,jki,float,O3,3.69728e+09
75,kij,double,O3,1.14342e+10
75,jki,double,O3,4.70675e+09
76,kij,float,O3,1.46325e+10
76,jki,float,O3,3.90756e+09
76,kij,double,O3,1.11348e+10
76,jki,double,O3,5.11554e+09
77,kij,float,O3,1.6822e+10
77,jki,float,O3,5.78858e+09
77,kij,double,O3,1.38401e+10
77,jki,double,O3,5.19033e+09
78,kij,float,O3,1.9987e+10
78,jki,float,O3,4.8986e+09
78,kij,double,O3,1.44932e+10
78,jki,double,O3,5.44116e+09
79,kij,float,O3,1.907e+10
79,jki,float,O3,6.01367e+09
79,kij,double,O3,1.41345e+10
79,jki,double,O3,5.96067e+09
80,kij,float,O3,3.34066e+10
80,jki,float,O3,5.24905e+09
80,kij,double,O3,1.70234e+10
80,jki,double,O3,5.2145e+09
81,kij,float,O3,2.44417e+10
81,jki,float,O3,4.11815e+09
81,kij,double,O3,1.16978e+10
81,jki,double,O3,4.68747e+09
82,kij,float,O3,2.65453e+10
82,jki,float,O3,5.0581e+09
82,kij,double,O3,1.53366e+10
82,jki,double,O3,4.92935e+09
83,kij,float,O3,2.51719e+10
83,jki,float,O3,4.25296e+09
83,kij,double,O3,1.23463e+10
83,jki,double,O3,5.14512e+09
84,kij,float,O3,2.39344e+10
84,jki,float,O3,5.18337e+09
84,kij,double,O3,1.35454e+10
84,jki,double,O3,5.08941e+09
85,kij,float,O3,2.13301e+10
85,jki,float,O3,4.52233e+09
85,kij,double,O3,1.32883e+10
85,jki,double,O3,4.47767e+09
86,kij,float,O3,2.2677e+10
86,jki,float,O3,4.89143e+09
86,kij,double,O3,1.55743e+10
86,jki,double,O3,5.25184e+09
87,kij,float,O3,2.44143e+10
87,jki,float,O3,5.21443e+09
87,kij,double,O3,1.4422e+10
87,jki,double,O3,5.20784e+09
88,kij,float,O3,2.53241e+10
88,jki,float,O3,4.47356e+09
88,kij,double,O3,1.46334e+10
88,jki,double,O3,5.44513e+09
89,kij,float,O3,2.08793e+10
89,jki,float,O3,5.4593e+09
89,kij,double,O3,1.29501e+10
89,jki,double,O3,5.41041e+09
90,kij,float,O3,2.10456e+10
90,jki,float,O3,4.86271e+09
90,kij,double,O3,1.59223e+10
90,jki,double,O3,5.38311e+09
91,kij,float,O3,2.24992e+10
91,jki,float,O3,4.991e+09
91,kij,double,O3,1.42539e+10
91,jki,double,O3,5.37546e+09
92,kij,float,O3,2.2954e+10
92,jki,float,O3,5.40417e+09
92,kij,double,O3,1.59549e+10
92,jki,double,O3,4.85794e+09
93,kij,float,O3,2.12957e+10
93,jki,float,O3,5.03795e+09
93,kij,double,O3,1.43778e+10
93,jki,double,O3,5.98128e+09
94,kij,float,O3,1.95112e+10
94,jki,float,O3,5.65932e+09
94,kij,double,O3,1.5073e+10
94,jki,double,O3,5.91631e+09
95,kij,float,O3,1.95629e+10
95,jki,float,O3,5.32508e+09
95,kij,double,O3,1.38705e+10
95,jki,double,O3,5.07197e+09
96,kij,float,O3,3.35797e+10
96,jki,float,O3,5.2377e+09
96,kij,double,O3,1.6935e+10
96,jki,double,O3,3.29264e+09
97,kij,float,O3,2.57341e+10
97,jki,float,O3,5.09834e+09
97,kij,double,O3,1.40727e+10
97,jki,double,O3,5.38362e+09
98,kij,float,O3,2.70575e+10
98,jki,float,O3,5.91971e+09
98,kij,double,O3,1.56088e+10
98,jki,double,O3,5.93501e+09
99,kij,float,O3,2.41945e+10
99,jki,float,O3,5.59362e+09
99,kij,double,O3,1.47636e+10
99,jki,double,O3,5.88878e+09
100,kij,float,O3,2.81744e+10
100,jki,float,O3,6.07877e+09
100,kij,double,O3,1.56063e+10
100,jki,double,O3,6.0299e+09
101,kij,float,O3,2.56729e+10
101,jki,float,O3,5.98722e+09
101,kij,double,O3,1.44491e+10
101,jki,double,O3,6.09871e+09
102,kij,float,O3,2.77995e+10
102,jki,float,O3,5.34614e+09
102,kij,double,O3,1.45399e+10
102,jki,double,O3,5.18893e+09
103,kij,float,O3,2.50761e+10
103,jki,float,O3,5.36436e+09
103,kij,double,O3,1.37127e+10
103,jki,double,O3,5.30021e+09
104,kij,float,O3,2.66327e+10
104,jki,float,O3,5.33392e+09
104,kij,double,O3,1.71227e+10
104,jki,double,O3,5.31379e+09
105,kij,float,O3,2.41311e+10
105,jki,float,O3,5.33861e+09
105,kij,double,O3,1.41126e+10
105,jki,double,O3,5.32939e+09
106,kij,float,O3,2.37117e+10
106,jki,float,O3,5.04846e+09
106,kij,double,O3,1.62119e+10
106,jki,double,O3,4.70641e+09
107,kij,float,O3,2.39682e+10
107,jki,float,O3,5.3112e+09
107,kij,double,O3,1.44501e+10
107,jki,double,O3,5.30449e+09
108,kij,float,O3,2.46432e+10
108,jki,float,O3,5.23411e+09
108,kij,double,O3,1.40076e+10
108,jki,double,O3,5.16834e+09
109,kij,float,O3,1.90096e+10
109,jki,float,O3,5.24613e+09
109,kij,double,O3,1.41609e+10
109,jki,double,O3,5.08505e+09
110,kij,float,O3,2.06735e+10
110,jki,float,O3,5.28568e+09
110,kij,double,O3,1.56934e+10
110,jki,double,O3,5.20854e+09
111,kij,float,O3,2.10698e+10
111,jki,float,O3,5.28383e+09
111,kij,double,O3,1.46685e+10
111,jki,double,O3,4.80315e+09
112,kij,float,O3,3.37858e+10
112,jki,float,O3,5.23359e+09
112,kij,double,O3,1.69979e+10
112,jki,double,O3,5.13111e+09
113,kij,float,O3,2.84354e+10
113,jki,float,O3,5.29625e+09
113,kij,double,O3,1.48848e+10
113,jki,double,O3,5.14198e+09
114,kij,float,O3,2.7877e+10
114,jki,float,O3,5.20932e+09
114,kij,double,O3,1.48754e+10
114,jki,double,O3,5.24595e+09
115,kij,float,O3,2.58446e+10
115,jki,float,O3,5.16755e+09
115,kij,double,O3,1.37377e+10
115,jki,double,O3,5.2609e+09
116,kij,float,O3,2.97905e+10
116,jki,float,O3,5.15632e+09
116,kij,double,O3,1.46793e+10
116,jki,double,O3,5.16307e+09
117,kij,float,O3,2.55945e+10
117,jki,float,O3,5.26365e+09
117,kij,double,O3,1.3116e+10
117,jki,double,O3,5.2389e+09
118,kij,float,O3,2.7871e+10
118,jki,float,O3,5.24395e+09
118,kij,double,O3,1.25509e+10
118,jki,double,O3,4.95584e+09
119,kij,float,O3,2.57549e+10
119,jki,float,O3,5.11289e+09
119,kij,double,O3,1.39815e+10
119,jki,double,O3,5.1016e+09
120,kij,float,O3,2.73592e+10
120,jki,float,O3,5.16174e+09
120,kij,double,O3,1.55016e+10
120,jki,double,O3,5.10802e+09
121,kij,float,O3,2.48834e+10
121,jki,float,O3,4.83482e+09
121,kij,double,O3,1.35542e+10
121,jki,double,O3,5.19488e+09
122,kij,float,O3,2.57669e+10
122,jki,float,O3,5.2e+09
122,kij,double,O3,1.38394e+10
122,jki,double,O3,5.19226e+09
123,kij,float,O3,2.29914e+10
123,jki,float,O3,5.15773e+09
123,kij,double,O3,1.28023e+10
123,jki,double,O3,5.18859e+09
124,kij,float,O3,2.42904e+10
124,jki,float,O3,5.16739e+09
124,kij,double,O3,1.29202e+10
124,jki,double,O3,5.17392e+09
125,kij,float,O3,2.39954e+10
125,jki,float,O3,5.11866e+09
125,kij,double,O3,1.14759e+10
125,jki,double,O3,5.13943e+09
126,kij,float,O3,2.38594e+10
126,jki,float,O3,5.13338e+09
126,kij,double,O3,1.00976e+10
126,jki,double,O3,5.00398e+09
127,kij,float,O3,2.33249e+10
127,jki,float,O3,5.09566e+09
127,kij,double,O3,1.01269e+10
127,jki,double,O3,5.11137e+09
128,kij,float,O3,3.34392e+10
128,jki,float,O3,3.42676e+09
128,kij,double,O3,1.50814e+10
128,jki,double,O3,2.58478e+09
129,kij,float,O3,2.56833e+10
129,jki,float,O3,5.20603e+09
129,kij,double,O3,1.00767e+10
129,jki,double,O3,5.1737e+09
130,kij,float,O3,2.8974e+10
130,jki,float,O3,5.16764e+09
130,kij,double,O3,1.05228e+10
130,jki,double,O3,5.18262e+09
131,kij,float,O3,2.53683e+10
131,jki,float,O3,5.20793e+09
131,kij,double,O3,1.04008e+10
131,jki,double,O3,5.14413e+09
132,kij,float,O3,2.83e+10
132,jki,float,O3,5.07875e+09
132,kij,double,O3,1.09377e+10
132,jki,double,O3,5.1523e+09
133,kij,float,O3,2.60941e+10
133,jki,float,O3,5.26833e+09
133,kij,double,O3,1.04433e+10
133,jki,double,O3,5.23973e+09
134,kij,float,O3,2.71004e+10
134,jki,float,O3,5.27454e+09
134,kij,double,O3,1.03325e+10
134,jki,double,O3,5.20606e+09
135,kij,float,O3,2.54302e+10
135,jki,float,O3,5.26557e+09
135,kij,double,O3,1.01296e+10
135,jki,double,O3,5.25885e+09
136,kij,float,O3,2.79495e+10
136,jki,float,O3,5.26628e+09
136,kij,double,O3,1.11691e+10
136,jki,double,O3,5.11893e+09
137,kij,float,O3,2.40594e+10
137,jki,float,O3,5.25451e+09
137,kij,double,O3,1.06969e+10
137,jki,double,O3,5.291e+09
138,kij,float,O3,2.56867e+10
138,jki,float,O3,5.28573e+09
138,kij,double,O3,1.09096e+10
138,jki,double,O3,5.28765e+09
139,kij,float,O3,2.50813e+10
139,jki,float,O3,5.33471e+09
139,kij,double,O3,1.05594e+10
139,jki,double,O3,5.31886e+09
140,kij,float,O3,2.59361e+10
140,jki,float,O3,5.32772e+09
140,kij,double,O3,1.08533e+10
140,jki,double,O3,5.31983e+09
141,kij,float,O3,2.37464e+10
141,jki,float,O3,5.30348e+09
141,kij,double,O3,1.04484e+10
141,jki,double,O3,5.23532e+09
142,kij,float,O3,2.42737e+10
142,jki,float,O3,5.29224e+09
142,kij,double,O3,1.06662e+10
142,jki,double,O3,5.32533e+09
143,kij,float,O3,2.37875e+10
143,jki,float,O3,5.34828e+09
143,kij,double,O3,1.04108e+10
143,jki,double,O3,5.35127e+09
144,kij,float,O3,3.47712e+10
144,jki,float,O3,5.32696e+09
144,kij,double,O3,1.12868e+10
144,jki,double,O3,5.11804e+09
145,kij,float,O3,2.76728e+10
145,jki,float,O3,5.3193e+09
145,kij,double,O3,1.08302e+10
145,jki,double,O3,5.25902e+09
146,kij,float,O3,2.67296e+10
146,jki,float,O3,5.39144e+09
146,kij,double,O3,1.09897e+10
146,jki,double,O3,5.38367e+09
147,kij,float,O3,2.45898e+10
147,jki,float,O3,5.3677e+09
147,kij,double,O3,1.04106e+10
147,jki,double,O3,5.35281e+09
148,kij,float,O3,2.99262e+10
148,jki,float,O3,5.37543e+09
148,kij,double,O3,1.09356e+10
148,jki,double,O3,5.3397e+09
149,kij,float,O3,2.52931e+10
149,jki,float,O3,5.29619e+09
149,kij,double,O3,1.05077e+10
149,jki,double,O3,5.20368e+09
150,kij,float,O3,2.75276e+10
150,jki,float,O3,5.39089e+09
150,kij,double,O3,1.07957e+10
150,jki,double,O3,5.39556e+09
151,kij,float,O3,2.56061e+10
151,jki,float,O3,5.39436e+09
151,kij,double,O3,1.04782e+10
151,jki,double,O3,5.39742e+09
152,kij,float,O3,2.7238e+10
152,jki,float,O3,5.41197e+09
152,kij,double,O3,1.13134e+10
152,jki,double,O3,5.19808e+09
153,kij,float,O3,2.49853e+10
153,jki,float,O3,5.36868e+09
153,kij,double,O3,1.05064e+10
153,jki,double,O3,5.39603e+09
154,kij,float,O3,2.62556e+10
154,jki,float,O3,5.39804e+09
154,kij,double,O3,1.10086e+10
154,jki,double,O3,5.35523e+09
155,kij,float,O3,2.48673e+10
155,jki,float,O3,5.34416e+09
155,kij,double,O3,1.0745e+10
155,jki,double,O3,5.35531e+09
156,kij,float,O3,2.56274e+10
156,jki,float,O3,5.29609e+09
156,kij,double,O3,1.09904e+10
156,jki,double,O3,5.41867e+09
157,kij,float,O3,2.44811e+10
157,jki,float,O3,5.41391e+09
157,kij,double,O3,1.02376e+10
157,jki,double,O3,5.43408e+09
158,kij,float,O3,2.27129e+10
158,jki,float,O3,5.42008e+09
158,kij,double,O3,1.07535e+10
158,jki,double,O3,5.40296e+09
159,kij,float,O3,2.28707e+10
159,jki,float,O3,5.26715e+09
159,kij,double,O3,1.00013e+10
159,jki,double,O3,5.18552e+09
160,kij,float,O3,3.13803e+10
160,jki,float,O3,5.19458e+09
160,kij,double,O3,1.12517e+10
160,jki,double,O3,3.2468e+09
161,kij,float,O3,2.63668e+10
161,jki,float,O3,5.46206e+09
161,kij,double,O3,1.05342e+10
161,jki,double,O3,5.43111e+09
162,kij,float,O3,2.7977e+10
162,jki,float,O3,5.45865e+09
162,kij,double,O3,1.09801e+10
162,jki,double,O3,5.44602e+09
163,kij,float,O3,2.53394e+10
163,jki,float,O3,5.27336e+09
163,kij,double,O3,1.06157e+10
163,jki,double,O3,5.44625e+09
164,kij,float,O3,2.60735e+10
164,jki,float,O3,5.39217e+09
164,kij,double,O3,1.08178e+10
164,jki,double,O3,5.09437e+09
165,kij,float,O3,2.60508e+10
165,jki,float,O3,5.28494e+09
165,kij,double,O3,1.04396e+10
165,jki,double,O3,5.30914e+09
166,kij,float,O3,2.55875e+10
166,jki,float,O3,5.16262e+09
166,kij,double,O3,1.07819e+10
166,jki,double,O3,5.09892e+09
167,kij,float,O3,2.46363e+10
167,jki,float,O3,5.43726e+09
167,kij,double,O3,1.05414e+10
167,jki,double,O3,5.37813e+09
168,kij,float,O3,2.61969e+10
168,jki,float,O3,5.2832e+09
168,kij,double,O3,1.13788e+10
168,jki,double,O3,5.19402e+09
169,kij,float,O3,2.25874e+10
169,jki,float,O3,5.41312e+09
169,kij,double,O3,1.0738e+10
169,jki,double,O3,5.42923e+09
170,kij,float,O3,1.89396e+10
170,jki,float,O3,5.37254e+09
170,kij,double,O3,1.11568e+10
170,jki,double,O3,5.39421e+09
171,kij,float,O3,2.13153e+10
171,jki,float,O3,5.4051e+09
171,kij,double,O3,1.04076e+10
171,jki,double,O3,5.3981e+09
172,kij,float,O3,1.79531e+10
172,jki,float,O3,5.39785e+09
172,kij,double,O3,1.09251e+10
172,jki,double,O3,5.37548e+09
173,kij,float,O3,2.0673e+10
173,jki,float,O3,5.40817e+09
173,kij,double,O3,1.05472e+10
173,jki,double,O3,5.4086e+09
174,kij,float,O3,2.02173e+10
174,jki,float,O3,5.38863e+09
174,kij,double,O3,1.08275e+10
174,jki,double,O3,5.36341e+09
175,kij,float,O3,2.01717e+10
175,jki,float,O3,5.39882e+09
175,kij,double,O3,1.04959e+10
175,jki,double,O3,5.38792e+09
176,kij,float,O3,2.73149e+10
176,jki,float,O3,5.38743e+09
176,kij,double,O3,1.13626e+10
176,jki,double,O3,5.09839e+09
177,kij,float,O3,2.34974e+10
177,jki,float,O3,5.40383e+09
177,kij,double,O3,1.08052e+10
177,jki,double,O3,5.41288e+09
178,kij,float,O3,2.52291e+10
178,jki,float,O3,4.65868e+09
178,kij,double,O3,1.10991e+10
178,jki,double,O3,5.36651e+09
179,kij,float,O3,2.17907e+10
179,jki,float,O3,5.10981e+09
179,kij,double,O3,1.04257e+10
179,jki,double,O3,5.18267e+09
180,kij,float,O3,2.32737e+10
180,jki,float,O3,5.39033e+09
180,kij,double,O3,1.10841e+10
180,jki,double,O3,5.41595e+09
181,kij,float,O3,2.11966e+10
181,jki,float,O3,5.41292e+09
181,kij,double,O3,1.0557e+10
181,jki,double,O3,5.4421e+09
182,kij,float,O3,2.17927e+10
182,jki,float,O3,5.40194e+09
182,kij,double,O3,1.07618e+10
182,jki,double,O3,5.26181e+09
183,kij,float,O3,2.0201e+10
183,jki,float,O3,5.35135e+09
183,kij,double,O3,1.04543e+10
183,jki,double,O3,5.40312e+09
184,kij,float,O3,2.03141e+10
184,jki,float,O3,5.39877e+09
184,kij,double,O3,1.13759e+10
184,jki,double,O3,5.04308e+09
185,kij,float,O3,1.96902e+10
185,jki,float,O3,5.05558e+09
185,kij,double,O3,1.02675e+10
185,jki,double,O3,5.05404e+09
186,kij,float,O3,1.7224e+10
186,jki,float,O3,5.33512e+09
186,kij,double,O3,1.07513e+10
186,jki,double,O3,5.113e+09
187,kij,float,O3,1.83707e+10
187,jki,float,O3,5.23546e+09
187,kij,double,O3,1.06461e+10
187,jki,double,O3,5.38739e+09
188,kij,float,O3,1.85307e+10
188,jki,float,O3,5.22004e+09
188,kij,double,O3,1.07636e+10
188,jki,double,O3,5.36329e+09
189,kij,float,O3,1.75935e+10
189,jki,float,O3,5.38662e+09
189,kij,double,O3,1.06462e+10
189,jki,double,O3,5.37236e+09
190,kij,float,O3,1.74798e+10
190,jki,float,O3,5.36596e+09
190,kij,double,O3,1.10098e+10
190,jki,double,O3,5.38706e+09
191,kij,float,O3,1.73609e+10
191,jki,float,O3,5.13847e+09
191,kij,double,O3,1.07591e+10
191,jki,double,O3,5.30008e+09
192,kij,float,O3,2.08586e+10
192,jki,float,O3,3.25523e+09
192,kij,double,O3,1.11662e+10
192,jki,double,O3,2.74761e+09
193,kij,float,O3,2.00489e+10
193,jki,float,O3,5.36436e+09
193,kij,double,O3,1.08486e+10
193,jki,double,O3,5.37899e+09
194,kij,float,O3,2.03287e+10
194,jki,float,O3,5.40846e+09
194,kij,double,O3,1.11458e+10
194,jki,double,O3,5.35961e+09
195,kij,float,O3,1.9724e+10
195,jki,float,O3,2.73781e+09
195,kij,double,O3,1.07948e+10
195,jki,double,O3,4.38044e+09
