n,variant,type,opt_level,flops_per_sec
2,kij,float,O3,2.30769e+08
2,jki,float,O3,1.92771e+08
2,kij,double,O3,3.84e+08
2,jki,double,O3,2.28571e+08
3,kij,float,O3,5.58621e+08
3,jki,float,O3,5.58621e+08
3,kij,double,O3,7.7512e+08
3,jki,double,O3,7.78846e+08
4,kij,float,O3,1.02128e+09
4,jki,float,O3,1.024e+09
4,kij,double,O3,9.25301e+08
4,jki,double,O3,9.20863e+08
5,kij,float,O3,1.38376e+09
5,jki,float,O3,1.28866e+09
5,kij,double,O3,1.38376e+09
5,jki,double,O3,1.5e+09
6,kij,float,O3,1.94303e+09
6,jki,float,O3,2.0736e+09
6,kij,double,O3,2.22298e+09
6,jki,double,O3,1.82793e+09
7,kij,float,O3,2.35469e+09
7,jki,float,O3,2.24427e+09
7,kij,double,O3,2.60177e+09
7,jki,double,O3,2.14823e+09
8,kij,float,O3,2.95101e+09
8,jki,float,O3,2.54094e+09
8,kij,double,O3,4.9152e+09
8,jki,double,O3,2.72824e+09
9,kij,float,O3,2.916e+09
9,jki,float,O3,2.76311e+09
9,kij,double,O3,4.99886e+09
9,jki,double,O3,2.83842e+09
10,kij,float,O3,3.51288e+09
10,jki,float,O3,3.06279e+09
10,kij,double,O3,4.64756e+09
10,jki,double,O3,3.12826e+09
11,kij,float,O3,3.30546e+09
11,jki,float,O3,3.14039e+09
11,kij,double,O3,5.47737e+09
11,jki,double,O3,3.42306e+09
12,kij,float,O3,3.60626e+09
12,jki,float,O3,3.27376e+09
12,kij,double,O3,5.5296e+09
12,jki,double,O3,3.4094e+09
13,kij,float,O3,3.81203e+09
13,jki,float,O3,3.47627e+09
13,kij,double,O3,5.45387e+09
13,jki,double,O3,3.63641e+09
14,kij,float,O3,3.87479e+09
14,jki,float,O3,3.62563e+09
14,kij,double,O3,5.64609e+09
14,jki,double,O3,3.59241e+09
15,kij,float,O3,4.08513e+09
15,jki,float,O3,3.79782e+09
15,kij,double,O3,5.52373e+09
15,jki,double,O3,3.91986e+09
16,kij,float,O3,1.34148e+10
16,jki,float,O3,3.93279e+09
16,kij,double,O3,9.67178e+09
16,jki,double,O3,3.73325e+09
17,kij,float,O3,1.17865e+10
17,jki,float,O3,4.16238e+09
17,kij,double,O3,8.62939e+09
17,jki,double,O3,4.11244e+09
18,kij,float,O3,1.19918e+10
18,jki,float,O3,4.21997e+09
18,kij,double,O3,8.48497e+09
18,jki,double,O3,4.13715e+09
19,kij,float,O3,1.12197e+10
19,jki,float,O3,4.31338e+09
19,kij,double,O3,9.06276e+09
19,jki,double,O3,4.15068e+09
20,kij,float,O3,9.93172e+09
20,jki,float,O3,3.98638e+09
20,kij,double,O3,8.28729e+09
20,jki,double,O3,4.26705e+09
21,kij,float,O3,9.13314e+09
21,jki,float,O3,4.35812e+09
21,kij,double,O3,8.49503e+09
21,jki,double,O3,4.32993e+09
22,kij,float,O3,9.23637e+09
22,jki,float,O3,4.3559e+09
22,kij,double,O3,8.37875e+09
22,jki,double,O3,4.36811e+09
23,kij,float,O3,9.27127e+09
23,jki,float,O3,4.41313e+09
23,kij,double,O3,8.38333e+09
23,jki,double,O3,4.40222e+09
24,kij,float,O3,8.88622e+09
24,jki,float,O3,4.44335e+09
24,kij,double,O3,1.1573e+10
24,jki,double,O3,4.44359e+09
25,kij,float,O3,8.78879e+09
25,jki,float,O3,4.42927e+09
25,kij,double,O3,1.04655e+10
25,jki,double,O3,4.43766e+09
26,kij,float,O3,8.60795e+09
26,jki,float,O3,4.47189e+09
26,kij,double,O3,9.84834e+09
26,jki,double,O3,4.47151e+09
27,kij,float,O3,7.9399e+09
27,jki,float,O3,4.4707e+09
27,kij,double,O3,9.87689e+09
27,jki,double,O3,4.49178e+09
28,kij,float,O3,8.31935e+09
28,jki,float,O3,4.49023e+09
28,kij,double,O3,9.72619e+09
28,jki,double,O3,4.50297e+09
29,kij,float,O3,6.46752e+09
29,jki,float,O3,4.22113e+09
29,kij,double,O3,9.59567e+09
29,jki,double,O3,4.51411e+09
30,kij,float,O3,7.93456e+09
30,jki,float,O3,4.51581e+09
30,kij,double,O3,9.52941e+09
30,jki,double,O3,4.52628e+09
31,kij,float,O3,7.88608e+09
31,jki,float,O3,4.52522e+09
31,kij,double,O3,9.46999e+09
31,jki,double,O3,2.36096e+09
32,kij,float,O3,1.21618e+10
32,jki,float,O3,2.38671e+09
32,kij,double,O3,6.47269e+09
32,jki,double,O3,1.2401e+09
33,kij,float,O3,8.81601e+09
33,jki,float,O3,2.44444e+09
33,kij,double,O3,5.28602e+09
33,jki,double,O3,2.4148e+09
34,kij,float,O3,8.57542e+09
34,jki,float,O3,2.40125e+09
34,kij,double,O3,5.74004e+09
34,jki,double,O3,2.44059e+09
35,kij,float,O3,9.053e+09
35,jki,float,O3,2.46175e+09
35,kij,double,O3,5.34557e+09
35,jki,double,O3,2.43934e+09
36,kij,float,O3,8.71396e+09
36,jki,float,O3,2.22542e+09
36,kij,double,O3,5.57997e+09
36,jki,double,O3,2.09757e+09
37,kij,float,O3,8.37424e+09
37,jki,float,O3,2.45757e+09
37,kij,double,O3,5.54261e+09
37,jki,double,O3,2.45426e+09
38,kij,float,O3,8.20495e+09
38,jki,float,O3,2.45392e+09
38,kij,double,O3,5.37153e+09
38,jki,double,O3,2.45086e+09
39,kij,float,O3,7.37004e+09
39,jki,float,O3,2.53621e+09
39,kij,double,O3,6.26697e+09
39,jki,double,O3,1.29306e+09
40,kij,float,O3,8.89568e+09
40,jki,float,O3,2.77425e+09
40,kij,double,O3,7.81679e+09
40,jki,double,O3,2.89266e+09
41,kij,float,O3,8.35423e+09
41,jki,float,O3,2.89854e+09
41,kij,double,O3,6.95013e+09
41,jki,double,O3,2.89262e+09
42,kij,float,O3,8.58311e+09
42,jki,float,O3,2.81199e+09
42,kij,double,O3,7.22328e+09
42,jki,double,O3,2.7126e+09
43,kij,float,O3,8.33858e+09
43,jki,float,O3,2.90658e+09
43,kij,double,O3,6.77867e+09
43,jki,double,O3,2.90511e+09
44,kij,float,O3,8.13964e+09
44,jki,float,O3,2.8421e+09
44,kij,double,O3,6.66289e+09
44,jki,double,O3,2.90332e+09
45,kij,float,O3,7.92874e+09
45,jki,float,O3,2.25618e+09
45,kij,double,O3,6.59736e+09
45,jki,double,O3,2.91275e+09
46,kij,float,O3,7.73521e+09
46,jki,float,O3,2.89234e+09
46,kij,double,O3,6.79412e+09
46,jki,double,O3,2.91703e+09
47,kij,float,O3,7.53551e+09
47,jki,float,O3,2.85261e+09
47,kij,double,O3,6.27917e+09
47,jki,double,O3,2.91832e+09
48,kij,float,O3,1.45836e+10
48,jki,float,O3,2.92528e+09
48,kij,double,O3,8.03507e+09
48,jki,double,O3,2.92368e+09
49,kij,float,O3,1.23034e+10
49,jki,float,O3,2.89846e+09
49,kij,double,O3,6.83675e+09
49,jki,double,O3,2.88759e+09
