n,flops_count,avg_time(s),flops_per_sec
2,4,0.000000087500000,45714286
3,6,0.000000054100000,110905730
4,8,0.000000062400000,128205128
5,10,0.000000062600000,159744409
6,12,0.000000066400000,180722892
7,14,0.000000071100000,196905767
8,16,0.000000091400000,175054705
9,18,0.000000087500000,205714286
10,20,0.000000104200000,191938580
11,22,0.000000125000000,176000000
12,24,0.000000133400000,179910045
13,26,0.000000125000000,208000000
14,28,0.000000133200000,210210210
15,30,0.000000149900000,200133422
16,32,0.000000154200000,207522698
17,34,0.000000145800000,233196159
18,36,0.000000170800000,210772834
19,38,0.000000179200000,212053571
20,40,0.000000191800000,208550574
21,42,0.000000187300000,224239188
22,44,0.000000203800000,215897939
23,46,0.000000212500000,216470588
24,48,0.000000212500000,225882353
25,50,0.000000233400000,214224507
26,52,0.000000233400000,222793488
27,54,0.000000241700000,223417460
28,56,0.000000241700000,231692180
29,58,0.000000258300000,224545103
30,60,0.000000258400000,232198142
31,62,0.000000270800000,228951256
32,64,0.000000270900000,236249539
33,66,0.000000295800000,223123732
34,68,0.000000299900000,226742247
35,70,0.000000304100000,230187438
36,72,0.000000320800000,224438903
37,74,0.000000321000000,230529595
38,76,0.000000325100000,233774223
39,78,0.000000337500000,231111111
40,80,0.000000354300000,225797347
41,82,0.000000358400000,228794643
42,84,0.000000383300000,219149491
43,86,0.000000374900000,229394505
44,88,0.000000400000000,220000000
45,90,0.000000420800000,213878327
46,92,0.000000416800000,220729367
47,94,0.000000391600000,240040858
48,96,0.000000412400000,232783705
49,98,0.000000416800000,235124760
50,100,0.000000450000000,222222222
51,102,0.000000429400000,237540755
52,104,0.000000446400000,232974910
53,106,0.000000441600000,240036232
54,108,0.000000483000000,223602484
55,110,0.000000462400000,237889273
56,112,0.000000483400000,231692180
57,114,0.000000483200000,235927152
58,116,0.000000491600000,235964199
59,118,0.000000508300000,232146370
60,120,0.000000495900000,241984271
61,122,0.000000504100000,242015473
62,124,0.000000620900000,199710098
63,126,0.000000529100000,238140238
64,128,0.000003741500000,34210878
65,130,0.000000683000000,190336750
66,132,0.000000712600000,185237160
67,134,0.000000682900000,196221994
68,136,0.000000633100000,214815985
69,138,0.000000566600000,243558066
70,140,0.000000587200000,238419619
71,142,0.000000591600000,240027045
72,144,0.000000608300000,236725300
73,146,0.000000612500000,238367347
74,148,0.000000624900000,236837894
75,150,0.000000625000000,240000000
76,152,0.000000670900000,226561336
77,154,0.000000649900000,236959532
78,156,0.000000658400000,236938032
79,158,0.000000666500000,237059265
80,160,0.000000670700000,238556732
81,162,0.000000712600000,227336514
82,164,0.000000683000000,240117130
83,166,0.000000692200000,239815082
84,168,0.000000708300000,237187632
85,170,0.000000725100000,234450421
86,172,0.000000716600000,240022328
87,174,0.000000737400000,235964199
88,176,0.000000720800000,244173141
89,178,0.000000754200000,236011668
90,180,0.000000741600000,242718447
91,182,0.000000737600000,246746204
92,184,0.000000745700000,246748022
93,186,0.000000758300000,245285507
94,188,0.000000750000000,250666667
95,190,0.000000807900000,235177621
96,192,0.000000787400000,243840488
97,194,0.000000812500000,238769231
98,196,0.000000817000000,239902081
99,198,0.000000820900000,241198684
100,200,0.000000837600000,238777459
101,202,0.000000841800000,239961986
102,204,0.000000862700000,236466906
103,206,0.000000862600000,238812891
104,208,0.000000874900000,237741456
105,210,0.000000879300000,238826339
106,212,0.000000875000000,242285714
107,214,0.000000887600000,241099594
108,216,0.000000895800000,241125251
109,218,0.000000929000000,234660926
110,220,0.000000904200000,243309002
111,222,0.000000933300000,237865638
112,224,0.000000920900000,243240308
113,226,0.000000949900000,237919781
114,228,0.000000937600000,243174061
115,230,0.000000946000000,243128964
116,232,0.000000953900000,243212077
117,234,0.000000995800000,234986945
118,236,0.000000979000000,241062308
119,238,0.000000991700000,239991933
120,240,0.000001008400000,238000793
121,242,0.000001046000000,231357553
122,244,0.000001025200000,238002341
123,246,0.000001049800000,234330349
124,248,0.000001054100000,235271796
125,250,0.000001050100000,238072565
126,252,0.000001054000000,239089184
127,254,0.000001041700000,243832197
128,256,0.000001070600000,239118251
129,258,0.000001066900000,241822101
130,260,0.000001108400000,234572357
131,262,0.000001087500000,240919540
132,264,0.000001091600000,241846830
133,266,0.000001116700000,238201845
134,268,0.000001120800000,239114918
135,270,0.000001125100000,239978669
136,272,0.000001120800000,242683797
137,274,0.000001129200000,242649663
138,276,0.000001141700000,241744767
139,278,0.000001158300000,240006907
140,280,0.000001158400000,241712707
141,282,0.000001158600000,243397204
142,284,0.000001154100000,246079196
143,286,0.000001204100000,237521801
144,288,0.000001171000000,245943638
145,290,0.000001191900000,243309002
146,292,0.000001195900000,244167573
147,294,0.000001183000000,248520710
148,296,0.000001245800000,237598330
149,298,0.000001212500000,245773196
150,300,0.000001233300000,243249818
151,302,0.000001225000000,246530612
152,304,0.000001241800000,244805927
153,306,0.000001274900000,240018825
154,308,0.000001275000000,241568627
155,310,0.000001275000000,243137255
156,312,0.000001287400000,242348920
157,314,0.000001291700000,243090501
158,316,0.000001299800000,243114325
159,318,0.000001312600000,242267256
160,320,0.000001300400000,246078130
161,322,0.000001362400000,236347622
162,324,0.000001337600000,242224880
163,326,0.000001345700000,242253102
164,328,0.000001354200000,242209423
165,330,0.000001358400000,242932862
166,332,0.000001371000000,242159008
167,334,0.000001358300000,245895605
168,336,0.000001379200000,243619490
169,338,0.000001404300000,240689311
170,340,0.000001395800000,243587907
171,342,0.000001420700000,240726402
172,344,0.000001441700000,238607200
173,346,0.000001450100000,238604234
174,348,0.000001445800000,240697192
175,350,0.000001429300000,244875114
176,352,0.000001445800000,243463826
177,354,0.000001391700000,254365165
178,356,0.000001483300000,240005393
179,358,0.000001475000000,242711864
180,360,0.000001508400000,238663484
181,362,0.000001495800000,242010964
182,364,0.000001508200000,241347301
183,366,0.000001550200000,236098568
184,368,0.000001541600000,238713025
185,370,0.000001520900000,243277007
186,372,0.000001533500000,242582328
187,374,0.000001550000000,241290323
188,376,0.000001550300000,242533703
189,378,0.000001549800000,243902439
190,380,0.000001562600000,243184436
191,382,0.000001566500000,243855729
192,384,0.000001575000000,243809524
193,386,0.000001591700000,242508010
194,388,0.000001583300000,245057791
195,390,0.000001604200000,243111831
196,392,0.000001608400000,243720468
197,394,0.000001616700000,243706315
198,396,0.000001641900000,241183994
199,398,0.000001645900000,241812990
200,400,0.000001641600000,243664717
201,402,0.000001658400000,242402315
202,404,0.000001666700000,242395152
203,406,0.000001649800000,246090435
204,408,0.000001662400000,245428296
205,410,0.000001683400000,243554711
206,412,0.000001687400000,244162617
207,414,0.000001708500000,242317823
208,416,0.000001708400000,243502693
209,418,0.000001704200000,245276376
210,420,0.000001700000000,247058824
211,422,0.000001724800000,244666048
212,424,0.000001733100000,244648318
213,426,0.000001749900000,243442482
214,428,0.000001741700000,245736924
215,430,0.000001750000000,245714286
216,432,0.000001787600000,241664802
217,434,0.000001787500000,242797203
218,436,0.000001787500000,243916084
219,438,0.000001779300000,246164222
220,440,0.000001787300000,246181391
221,442,0.000001816400000,243338472
222,444,0.000001804400000,246065174
223,446,0.000001833000000,243316967
224,448,0.000001829100000,244929200
225,450,0.000001833200000,245472398
226,452,0.000001916700000,235821986
227,454,0.000001879200000,241592167
228,456,0.000001866800000,244268267
229,458,0.000001887500000,242649007
230,460,0.000001916500000,240020871
231,462,0.000001858200000,248627704
232,464,0.000001895800000,244751556
233,466,0.000001866600000,249651773
234,468,0.000001945900000,240505679
235,470,0.000001933600000,243069921
236,472,0.000001925100000,245182068
237,474,0.000001941600000,244128554
238,476,0.000001945800000,244629458
239,478,0.000001954000000,244626407
240,480,0.000001962400000,244598451
241,482,0.000001933300000,249314643
242,484,0.000001970800000,245585549
243,486,0.000001983400000,245033780
244,488,0.000001996000000,244488978
245,490,0.000001995900000,245503282
246,492,0.000002008100000,245007719
247,494,0.000002083100000,237146560
248,496,0.000002062700000,240461531
249,498,0.000002091300000,238129393
250,500,0.000002020900000,247414518
251,502,0.000002045800000,245380780
252,504,0.000002075000000,242891566
253,506,0.000002083100000,242907206
254,508,0.000002112600000,240461990
255,510,0.000002087500000,244311377
256,512,0.000002104100000,243334442
257,514,0.000002096100000,245217308
258,516,0.000002100000000,245714286
259,518,0.000002120800000,244247454
260,520,0.000002145800000,242333861
261,522,0.000002175100000,239988966
262,524,0.000002141500000,244688303
263,526,0.000002170700000,242318146
264,528,0.000002150100000,245569973
265,530,0.000002362500000,224338624
266,532,0.000002166700000,245534684
267,534,0.000008495400000,62857546
268,536,0.000002199800000,243658514
269,538,0.000004708400000,114263869
270,540,0.000005637400000,95788839
271,542,0.000002262700000,239536837
272,544,0.000002341900000,232290021
273,546,0.000002266800000,240868184
274,548,0.000002275000000,240879121
275,550,0.000002287300000,240458182
276,552,0.000002283300000,241755354
277,554,0.000002358300000,234914981
