n,avg_time_s,GFLOPS_s
291,0.023098,0.358
292,0.023107,0.361
293,0.022720,0.371
294,0.023233,0.366
295,0.024898,0.345
296,0.023561,0.368
297,0.022851,0.383
298,0.023144,0.382
299,0.023231,0.384
300,0.023070,0.390
301,0.023104,0.393
302,0.023088,0.397
303,0.023172,0.399
304,0.023169,0.403
305,0.023100,0.408
306,0.023046,0.413
307,0.023420,0.410
308,0.022731,0.426
309,0.023345,0.419
310,0.023010,0.429
311,0.023183,0.429
312,0.022895,0.439
313,0.023101,0.439
314,0.023279,0.439
315,0.023087,0.447
316,0.022866,0.455
317,0.023112,0.454
318,0.022982,0.461
319,0.023231,0.460
320,0.023075,0.467
321,0.022850,0.476
322,0.023358,0.470
323,0.023018,0.481
324,0.023054,0.484
325,0.023516,0.479
326,0.023212,0.490
327,0.022702,0.505
328,0.023132,0.500
329,0.023033,0.506
330,0.023169,0.508
331,0.023591,0.503
332,0.023195,0.516
333,0.023139,0.521
334,0.023133,0.526
335,0.023201,0.529
336,0.023179,0.534
337,0.023133,0.539
338,0.023396,0.538
339,0.023443,0.541
340,0.022759,0.562
341,0.023311,0.553
342,0.022699,0.573
343,0.023152,0.566
344,0.022918,0.577
345,0.023206,0.574
346,0.023551,0.570
347,0.023486,0.576
348,0.023237,0.587
349,0.023150,0.594
350,0.023094,0.601
351,0.023207,0.603
352,0.023621,0.597
353,0.023618,0.602
354,0.023162,0.618
355,0.023097,0.625
356,0.023278,0.625
357,0.023037,0.637
358,0.023303,0.634
359,0.023079,0.645
360,0.023072,0.651
361,0.023007,0.658
362,0.022979,0.664
363,0.023126,0.664
364,0.023020,0.673
365,0.023122,0.675
366,0.022827,0.689
367,0.023188,0.683
368,0.023231,0.687
369,0.023013,0.699
370,0.024060,0.674
371,0.024095,0.678
372,0.023072,0.713
373,0.023282,0.712
374,0.023329,0.716
375,0.023243,0.724
376,0.023341,0.727
377,0.023192,0.737
378,0.023097,0.745
379,0.023153,0.749
380,0.023148,0.755
381,0.023486,0.749
382,0.023074,0.768
383,0.023118,0.773
384,0.023144,0.777
385,0.023176,0.782
386,0.023314,0.783
387,0.022937,0.802
388,0.024089,0.769
389,0.022891,0.815
390,0.023332,0.806
391,0.023453,0.807
392,0.023380,0.816
393,0.022932,0.837
394,0.023221,0.833
395,0.023460,0.830
396,0.023281,0.843
397,0.023152,0.853
398,0.023357,0.852
399,0.023197,0.864
400,0.023355,0.864
401,0.023416,0.868
402,0.023209,0.882
403,0.023803,0.866
404,0.023602,0.879
405,0.023411,0.893
406,0.023295,0.903
407,0.023254,0.911
408,0.023488,0.908
409,0.023349,0.920
410,0.023584,0.917
411,0.024095,0.904
412,0.024187,0.906
413,0.024219,0.911
414,0.023758,0.935
415,0.023491,0.953
416,0.023467,0.960
417,0.023260,0.975
418,0.023045,0.991
419,0.023329,0.985
420,0.023441,0.987
421,0.023149,1.006
422,0.023270,1.008
423,0.023400,1.009
424,0.023356,1.018
425,0.023260,1.029
426,0.023436,1.028
427,0.023248,1.043
428,0.023410,1.042
429,0.023250,1.056
430,0.023216,1.065
431,0.023268,1.069
432,0.023450,1.068
433,0.023180,1.088
434,0.025841,0.982
435,0.023269,1.097
436,0.023229,1.106
437,0.024909,1.039
438,0.023796,1.094
439,0.023513,1.114
440,0.023200,1.137
