n,flops_count,avg_time(s),flops_per_sec
2,12,0.000008004300000,1499194
3,24,0.000000287500000,83478261
4,40,0.000000353900000,113026279
5,60,0.000000404200000,148441366
6,84,0.000000441700000,190174326
7,112,0.000000495700000,225943111
8,144,0.000000550000000,261818182
9,180,0.000000600000000,300000000
10,220,0.000000725100000,303406427
11,264,0.000000829000000,318455971
12,312,0.000000933300000,334297653
13,364,0.000001024900000,355156601
14,420,0.000001116600000,376141859
15,480,0.000001233600000,389105058
16,544,0.000001333700000,407887831
17,612,0.000001454100000,420878894
18,684,0.000001591400000,429810230
19,760,0.000003070800000,247492510
20,840,0.000001895800000,443084714
21,924,0.000002445900000,377775052
22,1012,0.000002175000000,465287356
23,1104,0.000002766600000,399045760
24,1200,0.000004258400000,281795980
25,1300,0.000002795800000,464983189
26,1404,0.000002937500000,477957447
27,1512,0.000003329400000,454135880
28,1624,0.000003408200000,476497858
29,1740,0.000003600000000,483333333
30,1860,0.000004408400000,421921786
31,1984,0.000004449800000,445862735
32,2112,0.000004271100000,494486198
33,2244,0.000004387400000,511464649
34,2380,0.000004654300000,511355091
35,2520,0.000004858200000,518710634
36,2664,0.000005141700000,518116576
37,2812,0.000005387300000,521968333
38,2964,0.000005645800000,524992029
39,3120,0.000005962400000,523279216
40,3280,0.000006262500000,523752495
41,3444,0.000006683300000,515314291
42,3612,0.000006858500000,526645768
43,3784,0.000007100100000,532950240
44,3960,0.000007454100000,531251258
45,4140,0.000007720800000,536213864
46,4324,0.000008141600000,531099538
47,4512,0.000008475000000,532389381
48,4704,0.000008850100000,531519418
49,4900,0.000009204000000,532377227
50,5100,0.000009537600000,534725717
51,5304,0.000009879300000,536880143
52,5512,0.000010300000000,535145631
53,5724,0.000010670800000,536417138
54,5940,0.000011029100000,538575224
55,6160,0.000011458200000,537606256
56,6384,0.000011870700000,537794738
57,6612,0.000012312400000,537019590
58,6844,0.000012704200000,538719479
59,7080,0.000013045800000,542703399
60,7320,0.000013499900000,542226239
61,7564,0.000013912500000,543683738
62,7812,0.000014870800000,525324798
63,8064,0.000014829100000,543795645
64,8320,0.000015783500000,527132765
65,8580,0.000016041700000,534856031
66,8844,0.000016929300000,522407896
67,9112,0.000017633200000,516752490
68,9384,0.000017746200000,528789262
69,9660,0.000018112500000,533333333
70,9940,0.000018229100000,545281994
71,10224,0.000018833400000,542865335
72,10512,0.000019308400000,544426260
73,10804,0.000019820600000,545089452
74,11100,0.000020350100000,545451865
75,11400,0.000020808400000,547855674
76,11704,0.000021849800000,535657077
77,12012,0.000021920700000,547975202
78,12324,0.000022491800000,547933024
79,12640,0.000023104100000,547089045
80,12960,0.000023716500000,546455000
81,13284,0.000024295700000,546763419
82,13612,0.000024874900000,547218280
83,13944,0.000026366700000,528848889
84,14280,0.000027049900000,527913227
85,14620,0.000027091700000,539648675
86,14964,0.000027183200000,550487066
87,15312,0.000027966700000,547508287
88,15664,0.000031325200000,500044692
89,16020,0.000032475200000,493299502
90,16380,0.000032516800000,503739605
91,16744,0.000031479200000,531906783
92,17112,0.000033733500000,507270221
93,17484,0.000045520600000,384089841
94,17860,0.000045633400000,391379998
95,18240,0.000047695900000,382422808
96,18624,0.000047687600000,390541776
97,19012,0.000046200000000,411515152
98,19404,0.000050075100000,387497978
99,19800,0.000048362400000,409408962
100,20200,0.000046358600000,435733607
101,20604,0.000046458400000,443493534
102,21012,0.000044104200000,476417212
103,21424,0.000040112300000,534100513
104,21840,0.000040154000000,543905962
105,22260,0.000040391800000,551101956
106,22684,0.000042562400000,532958668
107,23112,0.000041858400000,552147239
108,23544,0.000042675000000,551704745
109,23980,0.000054799900000,437592039
110,24420,0.000048025000000,508485164
111,24864,0.000045208500000,549985069
112,25312,0.000045941600000,550960350
113,25764,0.000046762900000,550949578
114,26220,0.000047541700000,551515827
115,26680,0.000048449900000,550671931
116,27144,0.000049550000000,547810293
117,27612,0.000049478900000,558056060
118,28084,0.000052996100000,529925787
119,28560,0.000051850200000,550817547
120,29040,0.000052695900000,551086517
121,29524,0.000053525100000,551591683
122,30012,0.000054441700000,551268605
123,30504,0.000055675000000,547894028
124,31000,0.000056091700000,552666437
125,31500,0.000059858500000,526241052
126,32004,0.000062750000000,510023904
127,32512,0.000061129300000,531856246
128,33024,0.000064700000000,510417311
129,33540,0.000066795800000,502127379
130,34060,0.000071270600000,477896917
131,34584,0.000063283300000,546494889
132,35112,0.000063912400000,549376960
133,35644,0.000064100100000,556067775
134,36180,0.000067416700000,536662281
135,36720,0.000068529100000,535830764
136,37264,0.000068329000000,545361413
137,37812,0.000068754100000,549959930
138,38364,0.000069774900000,549825224
139,38920,0.000076533100000,508538136
140,39480,0.000077033400000,512504965
141,40044,0.000076054200000,526519245
142,40612,0.000076758300000,529089362
143,41184,0.000078212500000,526565447
144,41760,0.000075775000000,551105246
145,42340,0.000077724900000,544741775
146,42924,0.000078291900000,548255950
147,43512,0.000080479200000,540661438
148,44104,0.000081974900000,538018345
149,44700,0.000082912600000,539121919
150,45300,0.000091425100000,495487563
151,45904,0.000083704300000,548406713
152,46512,0.000084541500000,550167669
153,47124,0.000085971000000,548138326
154,47740,0.000089487500000,533482330
155,48360,0.000086575000000,558590817
156,48984,0.000088779300000,551750239
157,49612,0.000089858400000,552113102
158,50244,0.000093254300000,538784807
159,50880,0.000093303900000,545314826
160,51520,0.000100629200000,511978630
161,52164,0.000102453900000,509146065
162,52812,0.000103966600000,507970829
163,53464,0.000102737400000,520394715
164,54120,0.000102141600000,529852675
165,54780,0.000108166700000,506440522
166,55444,0.000105766900000,524209370
167,56112,0.000105096100000,533911344
168,56784,0.000112629100000,504168106
169,57460,0.000104062600000,552167638
170,58140,0.000103499900000,561739673
171,58824,0.000109733500000,536062369
172,59512,0.000110212700000,539974068
173,60204,0.000107241500000,561387150
174,60900,0.000108625000000,560644419
175,61600,0.000113033400000,544971663
176,62304,0.000118087700000,527607871
177,63012,0.000116483100000,540954010
178,63724,0.000116929300000,544978889
179,64440,0.000119720700000,538252783
180,65160,0.000122891700000,530222952
181,65884,0.000121375100000,542813147
182,66612,0.000120554100000,552548607
183,67344,0.000125537500000,536445285
184,68080,0.000128933400000,528024546
185,68820,0.000128741700000,534558733
186,69564,0.000127029200000,547622122
187,70312,0.000127937600000,549580420
188,71064,0.000130896000000,542904290
189,71820,0.000128812500000,557554585
190,72580,0.000136070900000,533398397
191,73344,0.000136024800000,539195794
192,74112,0.000136641700000,542382011
193,74884,0.000139766600000,535778934
194,75660,0.000142629000000,530467156
195,76440,0.000144229100000,529990134
196,77224,0.000142770700000,540895296
197,78012,0.000149216600000,522810465
198,78804,0.000146945800000,536279363
199,79600,0.000147604000000,539280778
200,80400,0.000144425000000,556690324
201,81204,0.000145066400000,559771250
202,82012,0.000150600000000,544568393
203,82824,0.000147933500000,559873186
204,83640,0.000150879200000,554350765
205,84460,0.000151400300000,557858868
206,85284,0.000153641500000,555084401
207,86112,0.000159125100000,541159126
208,86944,0.000165021000000,526866278
209,87780,0.000168295900000,521581334
