procs,bytes,my_bw,mpi_bw
32,8,402.94,727.53
32,16,1230.03,616.10
32,32,1231.88,1230.26
32,64,2465.58,2461.89
32,128,4924.15,4926.46
32,256,9855.05,9843.14
32,512,19716.21,19698.22
32,1024,39396.24,39410.85
32,2048,78829.09,157498.44
32,4096,20057096.13,92071841.21
32,8192,38062846.44,6515772.03
32,16384,46993629.59,173667864.45
32,32768,53807653.40,229879896.73
32,65536,59493592.75,395440749.66
32,131072,60702502.53,457189099.06
32,262144,130503266.76,761988919.44
32,524288,278520149.21,808121163.92
32,1048576,269820112.38,857874735.64
32,2097152,297311025.90,955053790.18
32,4194304,335681546.62,1313386173.93
32,8388608,342880845.44,1475416606.13
32,16777216,351082405.75,1539756351.40
32,33554432,294124233.62,1078681876.33
32,67108864,321014141.35,1543711964.37
32,134217728,333831054.79,1576218692.10
32,268435456,332267902.63,1555498139.27
