procs,bytes,my_bw,mpi_bw
32,8,743.57,222.19
32,16,1591.02,1383125.86
32,32,374623.91,2368440.53
32,64,1285786.04,8396746.26
32,128,343872.49,592935.73
32,256,1806978.04,3760116.33
32,512,3718282.04,9636740.07
32,1024,6368436.44,18990745.72
32,2048,20311012.38,4505515.30
32,4096,17302631.30,73202988.17
32,8192,29030600.49,9205425.27
32,16384,34628008.87,95178343.21
32,32768,39697952.47,197206323.99
32,65536,43417023.64,255135926.37
32,131072,44565941.76,285858850.21
32,262144,96195573.40,27750383.74
32,524288,221643803.53,630522914.25
32,1048576,227483825.09,649585992.51
32,2097152,228137087.29,707726449.30
32,4194304,242154438.65,869605709.87
32,8388608,247485590.87,778232734.47
32,16777216,245128941.39,795693927.04
32,33554432,235059050.91,759815932.80
32,67108864,220266832.04,600937724.08
32,134217728,240907611.51,784862615.08
32,268435456,243178550.01,815988494.60
