n,approx_length,error
10,6.157039010629669,0.009720458598385662
100,6.166658241557755,0.0001012276702994086
1000,6.166758456501127,1.0127269272075523e-06
10000,6.16675945910074,1.0127314098440365e-08
100000,6.166759469126782,1.0127276794946738e-10
1000000,6.166759469227042,1.0125233984581428e-12
