n,approx_length,error
10,6.157039010629669,0.00972045859838615
100,6.166658241557754,0.0001012276703007836
1000,6.166758456501128,1.0127269268062e-06
10000,6.166759459100712,1.01273430069e-08
100000,6.166759469126755,1.012999001e-10
1000000,6.166759469226871,1.1844286e-12
